MQ,2013,8	400.0991,338.0,1398812
MQ,2014,10	397.45227,335.35,1430432
MQ,2014,3	394.80515,333.2,1464833
MQ,2014,7	392.22675,331.1,1498497
OO,2013,4	388.29593,327.25,1551315
OO,2013,8	384.52887,323.68,1606415
OO,2014,10	381.6412,321.16,1657221
OO,2014,3	378.89917,319.0,1709736
OO,2014,7	376.17206,316.68,1764958
UA,2013,4	389.20654,321.84,1806274
UA,2013,8	403.06537,327.5,1850564
UA,2014,10	415.38577,332.84,1893813
UA,2014,3	427.3267,338.24,1936226
UA,2014,7	439.849,344.0,1980048
US,2013,11	441.98978,346.15,2013557
US,2013,2	443.75305,348.08,2044668
US,2013,6	445.69916,350.0,2079483
US,2014,1	447.90887,352.3,2114152
US,2014,12	450.10678,354.53,2148267
US,2014,5	452.5893,356.53,2183504
US,2014,9	454.19305,358.4,2216474
VX,2013,11	454.36197,358.53,2221268
VX,2013,2	454.6754,358.67,2225024
VX,2013,6	455.06863,358.8,2230119
VX,2014,1	455.43158,358.9,2234919
VX,2014,12	455.8202,359.1,2239873
VX,2014,5	456.2421,359.34,2244838
VX,2014,9	456.60693,359.55,2249388
WN,2013,10	443.53156,348.48,2343588
WN,2013,3	430.93817,337.45,2442389
WN,2013,7	419.16797,326.7,2542209
WN,2014,11	409.8697,317.52,2637511
WN,2014,2	401.4344,309.55,2721689
WN,2014,6	392.03888,300.46,2823238
WN,2015,1	384.1348,296.38,2922791
YV,2013,1	383.73352,296.0,2933410
YV,2013,12	383.35718,295.68,2945279
YV,2013,5	382.94485,295.26,2957290
YV,2013,9	382.5822,294.95,2968901
